Residente,Tarefa,Evento,Timestamp Inicial,Timestamp Final,Ação do Usuário,Comentarios,Duração
P04,Tarefa 2,Problema da interface,00:00:04,00:00:07,"Clicar em ""Adicionar Procedimento""",Usuário clicou em adicionar procedimento antes de esperar a tela finalizar de carregar.,00:00:03
P04,Tarefa 2,Sucesso,00:00:07,00:02:19,Finalização da Tarefa,,00:02:12
P04,Tarefa 3,Problema de compreensao,00:00:21,00:00:49,Procurando botão,Problema de compreensão dos botões. ,00:00:28
P04,Tarefa 3,Erro do usuario,00:00:57,00:01:01,"Clicar no botão ""salvar""",Usuário clicou no botão salvar sem realizar uma alteração no procedimento.,00:00:04
P04,Tarefa 3,Problema de redundância,00:01:44,00:01:46,Inserir motivo,Repetir descrição motivo,00:00:02
P04,Tarefa 3,Problema de redundância,00:01:53,00:02:02,Inserir motivo,Repetir descrição motivo,00:00:09
P04,Tarefa 3,Problema de redundância,00:02:24,00:02:26,Inserir motivo,Repetir descrição motivo,00:00:02
P04,Tarefa 3,Problema de redundância,00:02:31,00:02:34,Inserir motivo,Repetir descrição motivo,00:00:03
P04,Tarefa 3,Sucesso,00:02:34,00:03:15,Finalização da Tarefa,,00:00:41
P04,Tarefa 4,Problema de compreensao,00:00:26,00:00:36,Procurando botão,Problema de compreensão dos botões. ,00:00:10
P04,Tarefa 4,Sucesso,00:00:36,00:01:12,Finalização da Tarefa,,00:00:36
P04,Tarefa 5,Problema de compreensao,00:00:07,00:00:12,Procurando botão,Procurando botão,00:00:05
P04,Tarefa 5,Sucesso,00:00:12,00:01:23,Finalização da Tarefa,,00:01:11
P04,Tarefa 6,Problema da interface,00:00:30,00:00:34,"Clicar no botão ""cadastrar paciente""",O usuário tenta clicar no botão e ele não tem ação. ,00:00:04
P04,Tarefa 6,Problema de compreensao,00:00:35,00:00:50,Procurando local para cadastrar.,Problema de compreensão da interface.,00:00:15
P04,Tarefa 6,Sucesso,00:00:51,00:03:48,Finalização da Tarefa,,00:02:57
P04,Tarefa 7,Sucesso,00:00:00,00:00:24,Tarefa completa,"A tarefa devia ser procurar pelo paciente EZList, mas por algum motivo a instrução foi de procurar outro paciente.",00:00:24
P03,Tarefa 1,Problema de compreensao,00:00:06,00:00:14,Adicionar Paciente,"Clicou no botão ""adicionar procedimento"". Depois se questionou como executar. ",00:00:08
P03,Tarefa 1,Problema de compreensao,00:00:15,00:00:38,Procurar por instruções,O usuário assistiu ao vídeo tutorial. ,00:00:23
P03,Tarefa 1,Sucesso,00:00:39,00:02:30,Finalização da Tarefa,,00:01:51
P03,Tarefa 2,Problema de compreensao,00:00:00,00:00:33,Procurando botão,Usuário não encontra o botão de adicionar procedimento. ,00:00:33
P03,Tarefa 2,Sucesso,00:00:33,00:03:09,Finalização da Tarefa,,00:02:36
P03,Tarefa 3,Problema de redundância,00:01:01,00:01:11,Inserir motivo,Repetir descrição motivo,00:00:10
P03,Tarefa 3,Problema de redundância,00:01:34,00:01:45,Inserir motivo,Repetir descrição motivo,00:00:11
P03,Tarefa 3,Problema de redundância,00:02:30,00:02:37,Inserir motivo,"Repetir descrição motivo. Usuário somente clicou no campo e não alterou valor, mas o sistema pediu descrição. ",00:00:07
P03,Tarefa 3,Problema de redundância,00:02:44,00:02:47,Inserir motivo,"Repetir descrição motivo. Usuário inseriu o valor, mas não preencheu descrição, pois achou que o sistema salvou o anterior. ",00:00:03
P03,Tarefa 3,Sucesso,00:02:47,00:03:27,Finalização da Tarefa,,00:00:40
P03,Tarefa 4,Sucesso,00:00:00,00:01:06,Tarefa completa,,00:01:06
P03,Tarefa 5,Sucesso,00:00:00,00:00:54,Tarefa completa,,00:00:54
P03,Tarefa 6,Sucesso,00:00:00,00:05:52,Tarefa completa,,00:05:52
P03,Tarefa 7,Sucesso,00:00:00,00:01:10,Tarefa completa,,00:01:10
P02,Tarefa 1,Sucesso,00:00:00,00:02:10,Tarefa completa,,00:02:10
P02,Tarefa 2,Sucesso,00:00:00,00:02:26,Tarefa completa,,00:02:26
P02,Tarefa 3,Problema de compreensao,00:00:19,00:00:25,Procurando botão,Problema de compreensão dos botões. ,00:00:06
P02,Tarefa 3,Problema de compreensao,00:00:32,00:00:39,Procurando botão,Problema de compreensão dos botões. ,00:00:07
P02,Tarefa 3,Problema de redundância,00:00:47,00:00:58,Inserir motivo,Repetir descrição motivo,00:00:11
P02,Tarefa 3,Problema de redundância,00:01:14,00:01:23,Inserir motivo,Repetir descrição motivo,00:00:09
P02,Tarefa 3,Problema de redundância,00:01:31,00:01:33,Inserir motivo,Repetir descrição motivo,00:00:02
P02,Tarefa 3,Sucesso,00:01:33,00:02:01,Finalização da Tarefa,,00:00:28
P02,Tarefa 4,Sucesso,00:00:00,00:00:31,Tarefa completa,,00:00:31
P02,Tarefa 5,Sucesso,00:00:00,00:00:38,Tarefa completa,,00:00:38
P02,Tarefa 6,Sucesso,00:00:00,00:03:13,Tarefa completa,,00:03:13
P02,Tarefa 7,Sucesso,00:00:00,00:00:35,Tarefa completa,"A tarefa devia ser procurar pelo paciente EZList, mas por algum motivo a instrução foi de procurar outro paciente.",00:00:35
P01,Tarefa 1,Erro do sistema,00:00:00,00:02:41,"Tarefa completa, porém com mensagem de erro do sistema.",Mensagem de erro de servidor: server error. ,00:02:41
P01,Tarefa 2,Sucesso,00:01:44,00:02:57,Tarefa completa,,00:01:13
P01,Tarefa 3,Problema de redundância,00:00:15,00:00:34,Inserir motivo,Repetir descrição motivo,00:00:19
P01,Tarefa 3,Problema de redundância,00:00:37,00:00:41,Inserir motivo,Repetir descrição motivo,00:00:04
P01,Tarefa 3,Problema de redundância,00:00:46,00:00:53,Inserir motivo,Repetir descrição motivo,00:00:07
P01,Tarefa 3,Problema de redundância,00:00:59,00:01:04,Inserir motivo,Repetir descrição motivo,00:00:05
P01,Tarefa 3,Problema de redundância,00:01:34,00:01:39,Inserir motivo,Repetir descrição motivo,00:00:05
P01,Tarefa 3,Sucesso,00:01:39,00:01:49,Finalização da Tarefa,,00:00:10
P01,Tarefa 4,Problema de compreensao,00:00:00,00:00:05,Procurando botão,Problema de compreensão dos botões. ,00:00:05
P01,Tarefa 4,Sucesso,00:00:05,00:00:35,Finalização da Tarefa,,00:00:30
P01,Tarefa 5,Sucesso,00:00:00,00:00:24,Tarefa completa,,00:00:24
P01,Tarefa 6,Problema da interface,00:00:00,00:01:15,Procurando botão para adicionar paciente,"Problema de compreensão da interface. Não aparecia o botão para adicionar o paciente. Precisou de instrução para ""driblar"" o erro.",00:01:15
P01,Tarefa 6,Sucesso,00:01:15,00:04:15,Finalização da Tarefa,,00:03:00
P01,Tarefa 7,Sucesso,00:00:00,00:00:20,Tarefa completa,,00:00:20
